	dominant_topic	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
115	16	0.010331	0.008354	0.007016	0.006047	0.005313	0.004738	0.004276	0.079611	0.003577	0.003307	0.003075	0.002873	0.002696	0.002540	0.002401	0.220908	0.630876	0.002062
116	4	0.019237	0.015521	0.013029	0.011229	0.866925	0.008799	0.007940	0.007234	0.006643	0.006141	0.005710	0.005336	0.005007	0.004717	0.004458	0.004227	0.004018	0.003829
117	15	0.014917	0.012072	0.010134	0.008734	0.007675	0.369714	0.006176	0.005627	0.005167	0.004777	0.004441	0.004150	0.003895	0.003669	0.117548	0.415203	0.003125	0.002978
118	17	0.008424	0.251671	0.048528	0.004913	0.004317	0.003850	0.003474	0.003165	0.002906	0.002687	0.002498	0.002334	0.002191	0.002064	0.001950	0.001849	0.060801	0.592377
119	17	0.008948	0.007240	0.006080	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.067472	0.002201	0.002080	0.001972	0.001875	0.869979
120	17	0.007066	0.005716	0.004800	0.004137	0.084789	0.003242	0.002925	0.002665	0.002447	0.002263	0.002104	0.001966	0.052795	0.001738	0.001642	0.001557	0.001480	0.816667
121	1	0.033639	0.777049	0.022799	0.019650	0.017266	0.015398	0.013895	0.012659	0.011625	0.010747	0.009992	0.009337	0.008762	0.008254	0.007801	0.007396	0.007031	0.006700
122	10	0.011190	0.009049	0.007600	0.006550	0.005756	0.005133	0.004632	0.004220	0.003875	0.003582	0.919986	0.003112	0.002921	0.002751	0.002601	0.002465	0.002344	0.002233
123	5	0.019170	0.015519	0.013028	0.327988	0.009867	0.549169	0.007940	0.007234	0.006643	0.006141	0.005710	0.005336	0.005007	0.004717	0.004458	0.004226	0.004018	0.003829
124	17	0.022391	0.167889	0.015201	0.013101	0.011512	0.010266	0.009264	0.008440	0.007750	0.007165	0.006662	0.006225	0.005842	0.005503	0.005201	0.004931	0.004687	0.687968
125	1	0.033549	0.777125	0.022800	0.019652	0.017267	0.015399	0.013896	0.012660	0.011626	0.010748	0.009993	0.009338	0.008763	0.008255	0.007802	0.007397	0.007031	0.006700
126	1	0.014927	0.524437	0.386628	0.008734	0.007674	0.006844	0.006176	0.005626	0.005167	0.004777	0.004441	0.004150	0.003894	0.003669	0.003467	0.003287	0.003125	0.002978
127	5	0.044731	0.036218	0.030398	0.026200	0.023022	0.687165	0.018526	0.016879	0.015500	0.014329	0.013323	0.012449	0.011683	0.011005	0.010402	0.009861	0.009374	0.008933
128	2	0.008960	0.007241	0.754261	0.005240	0.004605	0.004107	0.003706	0.003376	0.003100	0.002866	0.113043	0.002490	0.002337	0.002201	0.002081	0.076725	0.001875	0.001787
129	16	0.010326	0.008365	0.375115	0.006047	0.005313	0.180850	0.004276	0.003895	0.003577	0.003307	0.003075	0.002873	0.002696	0.002540	0.002401	0.002276	0.381007	0.002062
